Topic,Count,Name,Representation,Representative_Docs
9,181,9_guerrero_sonora_meza_cuitlahuac,"['guerrero', 'sonora', 'meza', 'cuitlahuac', 'boxeo', 'vocal', 'quih', 'jabnely', 'zacatecas', 'intocable']","['la vocal ejecutiva del fovissste jabnely maldonado meza ', 'maestra jabnely maldonado meza vocal ejecutiva del fovissste ', 'vocal ejecutiva del fovissste jabnely maldonado meza buenos dias a todas y todos ']"
10,141,10_educacion_superior_escuelas_maestros,"['educacion', 'superior', 'escuelas', 'maestros', 'bachillerato', 'escuela', 'media', 'jovenes', 'estudiantes', 'maestras']","['entonces el dia de hoy lo que vamos a presentar es el numero de preparatorias que se van a construir el numero de escuelas de educacion media superior ', 'despues esta mario delgado con nosotros y a distancia esta tania rodriguez la subsecretaria de educacion media superior vamos a presentar el programa de bachillerato general este programa integral para la educacion media superior que es a partir de este nuevo ciclo escolar se incorpora ya a este nuevo sistema o nueva integracion muy importante de la preparatoria bachilleratos bachilleratos tecnicos de nuestro pais ', 'entonces salen digamos con el certificado nacional de bachillerato y ademas una valoracion por parte de una universidad de una escuela de educacion superior eso garantiza que todas las escuelas son buenas escuelas cada una con su caracteristica de modelo educativo ']"
11,132,11_energia_electricidad_energetica_electrica,"['energia', 'electricidad', 'energetica', 'electrica', 'electrico', 'cfe', 'generacion', 'renovables', 'comision', 'baterias']","['pero de todas maneras va a haber crecimiento en la generacion electrica eso significa que cfe la empresa publica pues debe todavia generar mas electricidad y una parte de ella con fuentes renovables de energia porque queremos que contamine menos e impacte menos en el cambio climatico global ', 'que cfe va a poder despachar de manera primeramente la energia que requieren todos los hogares cfe es la empresa que genera y distribuye la energia electrica a todos los hogares cfe es la unica empresa no existe ninguna empresa privada cfe es la unica empresa que lleva la energia electrica a los hogares de todo el pais por lo tanto con la reforma va a tener preponderancia para poder llevar esa energia electrica a todos los hogares de todo el pais ', 'uno cumplir con el compromiso de que para el 2030 el 35 por ciento de la generacion electrica sea con fuentes renovables de energia esa es una meta que tiene luz elena gonzalez con todo el equipo de la comision federal de electricidad y la parte privada ']"
12,127,12_gas_gasolina_combustible_precio,"['gas', 'gasolina', 'combustible', 'precio', 'natural', 'gasolineras', 'litro', 'precios', 'diesel', 'petroleo']","['el gas natural que es un combustible y que viene por ductos hasta nuestras casas hay un porcentaje de casas en algunos lugares de la republica que tienen gas natural ', 'estan planteando esta en 2 pesos por litro de gas estan planteando ellos un aumento de 4 25 pesos para que sea sustentable esta industria que esta legalmente establecida y que se esta viendo con dificultades porque estan aumentando los gastos los costos de mantenimiento tanto de las instalaciones como de los vehiculos que utilizan para llevar el gas a las casas porque el gas es uno de los combustibles que a diferencia de la gasolina que puede ir alguien a la gasolinera a tomar su combustible o la luz que llega directamente a la casa el gas hay que llevarlo a los domicilios ', 'con respecto al quien es quien en los precios de gas lp podemos observar que el precio de este combustible se encuentra por debajo de los precios internacionales en las 220 regiones determinadas por la comision reguladora de energia tanto por kilo como por litro de esta manera para el ultimo dia del monitoreo de gas realizado el 16 de octubre el precio promedio del gas lp en el caso de gas estacionario fue de 10 pesos con 41 centavos y para el gas por cilindro 19 pesos con 28 centavos ']"
13,126,13_fentanilo_drogas_droga_consumo,"['fentanilo', 'drogas', 'droga', 'consumo', 'unidos', 'estados', 'trafico', 'adicciones', 'drogadiccion', 'evitar']","['por razones humanitarias mexico seguira colaborando para evitar que llegue fentanilo a los jovenes estadounidenses y para apoyar a sus familias ademas como lo he dicho no solo no queremos que esa droga llegue a los jovenes de estados unidos sino que no llegue a ningun lugar del mundo ni a los jovenes mexicanos ', 'pienso que es algo muy importante nosotros siempre hemos hablado de que el trafico de drogas hacia estados unidos tiene que ver con el consumo en estados unidos que no solamente es un tema de mexico sino que el tema no habria distribucion de drogas hacia estados unidos sino hubiera consumo en estados unidos ', 'nosotros hemos planteado como ustedes saben no solamente el tema de que no solo es un asunto que el fentanilo no llegue a estados unidos a traves de la frontera con mexico sino nosotros no queremos que el fentanilo llegue a ningun joven o a ninguna persona porque es una droga que como todos sabemos tiene muchisima adiccion y tiene impactos muy graves estados unidos tiene un problema muy relevante relacionado con las adicciones al fentanilo ']"
14,123,14_migrantes_migracion_unidos_repatriacion,"['migrantes', 'migracion', 'unidos', 'repatriacion', 'estados', 'deportacion', 'repatriados', 'frontera', 'migrante', 'migratorio']","['desde el primer momento nosotros dijimos no estamos de acuerdo con las redadas como forma de atender a los migrantes en estados unidos y tienen todo el apoyo de los consulados ', 'y alla nuestros consulados estan apoyando a todos nuestros hermanos migrantes ', 'interlocutora una ultima relacionada con el tema que estaban preguntando ayer el tema de los migrantes de las personas migrantes porque habia quedado pendiente la revision del personal del instituto nacional de migracion y de las estaciones migratorias que pues en algunos casos se habia entregado la seguridad a empresas privadas no se si tiene ya algun corte o alguna idea de que se va a hacer con eso ']"
15,119,15_medicamentos_farmacias_medicamento_compra,"['medicamentos', 'farmacias', 'medicamento', 'compra', 'recoger', 'birmex', 'gratuitos', 'salud', 'bienestar', 'abasto']","[' y donde van a conseguir sus medicamentos junto a los bancos de bienestar a mediados del proximo ano vamos a construir las farmacias del bienestar para que ahi puedan recoger sus medicamentos gratuitos para las y los adultos mayores ', 'y los medicamentos esta semana inicia la distribucion de medicamentos ', 'y este medicamento donde se van a surtir para recibir los medicamentos en unas farmacias que vamos a empezar a hacer a partir de este ano que se llaman farmacias del bienestar para que puedan ir a recoger sus medicamentos gratuitos que va a haber por todo el pais las farmacias del bienestar ese es el tercer programa ']"
16,116,16_mexicanos_pueblo_humanismo_mexicanas,"['mexicanos', 'pueblo', 'humanismo', 'mexicanas', 'siempre', 'generosidad', 'somos', 'abiertos', 'brazos', 'historia']","['y es algo que todas y todos debemos celebrar porque las mexicanas y los mexicanos tenemos una caracteristica y es que no dejamos a nadie atras siempre le damos la mano al que se quedo atras es una caracteristica de las familias mexicanas de la historia viene de los pueblos originarios la fraternidad la solidaridad la comunidad que caracteriza a las mexicanas y a los mexicanos ', 'y que si quieren regresar a nuestro pais aqui los recibimos con los brazos abiertos asi somos las mexicanas y los mexicanos ', 'asi que les decimos desde aqui que siempre los vamos a apoyar y que si quieren regresar a mexico aqui son bien recibidos con los brazos abiertos porque son grandes mexicanos y mexicanas heroes y heroinas de nuestra patria ']"
17,115,17_mujeres_mujer_mexicanas_presidencia,"['mujeres', 'mujer', 'mexicanas', 'presidencia', 'primera', 'derechos', 'historia', 'las', 'tiempo', 'hombres']","['bueno por eso es para las mujeres para reconocer el trabajo de las mujeres mexicanas ', 'presidenta de mexico claudia sheinbaum pardo las mujeres ', 'presidenta de mexico claudia sheinbaum pardo pues como hay mujer presidenta con a vamos a reconocer el trabajo de las mujeres mexicanas ']"
18,115,18_buenos_dias_pregunta_gracias,"['buenos', 'dias', 'pregunta', 'gracias', 'noticias', 'presidenta', 'yusbel', 'radio', 'arciniega', 'yareth']","['pregunta gracias presidenta buenos dias ', 'pregunta gracias presidenta buenos dias ', 'pregunta gracias presidenta buenos dias ']"
19,112,19_vamos_hacer_estamos_avanzando,"['vamos', 'hacer', 'estamos', 'avanzando', 'ir', 'entonces', 'estrategia', 'haciendo', 'trabajando', 'ahora']","[' que vamos a hacer con eso ', 'entonces que vamos a hacer ahora ', 'entonces eso lo vamos a hacer ']"
20,104,20_transformacion_cuarta_piso_principios,"['transformacion', 'cuarta', 'piso', 'principios', 'segundo', 'continuidad', 'movimiento', 'transformaciones', 'causas', 'significa']","['esos son parte de los principios de la cuarta transformacion ', 'y que viva el segundo piso de la cuarta transformacion ', ' y que significa el segundo piso de la cuarta transformacion ']"
21,104,21_casa_adultos_mayores_salud,"['casa', 'adultos', 'mayores', 'salud', 'enfermeras', 'discapacidad', 'enfermeros', 'programa', 'visitar', 'personas']","['y el tercero se llama salud casa por casa que significa ayer estuvimos en la tarde con enfermeras enfermeros de este programa medicas medicos son trabajadoras trabajadores de la salud que van casa por casa a visitar a todos los adultos mayores y las personas con discapacidad llevan un maletin para que haya revision en su casa se hace un historial medico y se atiende directamente en el domicilio a todas y todos los adultos mayores ', 'y tambien iniciamos un censo de salud y bienestar estamos visitando a los adultos mayores con el programa salud casa por casa y a partir del proximo mes 22 mil 500 medicos medicas enfermeras y enfermeros van a visitar a los adultos mayores y a las personas con discapacidad de manera permanente ', 'bueno el programa salud casa por casa ya es una realidad son 20 mil trabajadoras y trabajadores de la salud enfermeras enfermeros medicas medicos que estan visitando en su casa a todos los adultos mayores y personas con discapacidad ']"
22,101,22_delito_delincuencia_organizada_delitos,"['delito', 'delincuencia', 'organizada', 'delitos', 'investigacion', 'detencion', 'crimen', 'grupos', 'informacion', 'policias']","['no queremos que haya violencia vinculada con la delincuencia organizada y para ello se hacen las carpetas de investigacion las detenciones y se trabaja todos los dias en ello ', 'y tercero porque es mucho mas complejo el crimen organizado la delincuencia organizada y tiene que haber un trabajo permanente de coordinacion y colaboracion ', 'nosotros el delito de terrorismo tiene un catalogo muy distinto en mexico del que ellos le pusieron a la delincuencia organizada eso no quiere decir que nosotros hagamos nuestro trabajo la fiscalia tambien y en su momento los jueces para detener a responsables de delitos ese trabajo lo hacemos todos los dias incluida tambien la atencion a las causas pero cada quien tiene su legislacion ']"
23,99,23_salud_imss_bienestar_sistema,"['salud', 'imss', 'bienestar', 'sistema', 'issste', 'medica', 'sistemas', 'servicios', 'gratuita', 'clinica']","['y con el apoyo de instituciones del gabinete de salud como el imss bienestar y el imss y el issste asi como los gabinetes de salud de los estados se llevaron a la poblacion servicios y acciones de fomento al cuidado de la salud y prevencion de enfermedades ', 'por supuesto el imss bienestar y todo lo que estamos haciendo por la salud ', 'y nosotros estamos trabajando pues con los tres sistemas de salud y apoyando a los estados tambien el imss el issste y el imss bienestar ']"
24,98,24_gracias_muchas_muchisimas_pregunta,"['gracias', 'muchas', 'muchisimas', 'pregunta', 'agradecerle', 'felicidades', 'buen', 'buenos', 'agradezco', 'dias']","['pregunta muchas gracias buenos dias ', 'pregunta muchas gracias buenos dias ', 'pregunta muchas gracias buenos dias ']"
25,94,25_creditos_deuda_credito_infonavit,"['creditos', 'deuda', 'credito', 'infonavit', 'congelamiento', 'intereses', 'impagables', 'deudas', 'pagar', 'saldo']","['tambien estamos apoyando a todas las familias que tenian creditos impagables del infonavit fijense que se construyeron creditos del infonavit que supongamos que pidieron su credito en el 2006 y lo siguen pagando y ya pagaron dos veces tres veces la vivienda y no disminuye sustancialmente el credito por una forma muy injusta en la que construyeron los creditos ', 'ademas le estamos quitando parte de los creditos impagables a muchas familias fijense el infonavit hasta 2018 a quien tiene el infonavit se les dieron creditos han pagado su casa una dos tres cuatro veces y no han acabado de pagarla porque sigue el credito un credito impagable injusto que se hizo con mucha corrupcion ahora estamos disminuyendo todos esos creditos y a algunos ya les estamos entregando sus escrituras son 144 mil 881 familias que se van a ver beneficiadas ', 'para aquellos que en algun momento pidieron un credito del infonavit y tienen deudas que no pueden pagar porque en el pasado se hicieron creditos que nada mas eran para sacarle dinero a la gente que no eran realmente para darles un apoyo pues a la gran mayoria de los que tienen creditos del infonavit se les estan disminuyendo todos los creditos se les estan condonando deudas se les estan bajando los intereses haciendo quitas ']"
26,92,26_millones_pesos_mil_inversion,"['millones', 'pesos', 'mil', 'inversion', 'recaudacion', 'incremento', 'presupuesto', '10', 'cerca', 'ano']","[' como se incrementa el presupuesto de la unam llegara a 53 mil 700 millones de pesos al politecnico 22 mil 400 a la uam mas de 10 mil millones de pesos ', 'en total fueron poco mas de mil 200 millones de pesos los que se hicieron para hacer esta inversion ', 'yo dije que eran 150 mil millones son 180 mil millones de pesos adicionales que se han recaudado de enero a julio en aduanas 180 mil millones de pesos ']"
27,92,27_tren_maya_interoceanico_carga,"['tren', 'maya', 'interoceanico', 'carga', 'pasajeros', 'trenes', 'aguila', 'laredo', 'pachuca', 'aifa']","['esta el tren insurgente el tren maya el interoceanico ', '76 despues de las privatizaciones de los ferrocarriles que se llevaron a cabo en el pasado se recuperaron los trenes de pasajeros el tren maya el interoceanico ya funciona el tren maya ahora vamos a llevar el tren maya a progreso al puerto de progreso en yucatan y lo vamos a hacer el tren maya de carga ', '76 despues de las privatizaciones de los ferrocarriles que se llevaron a cabo en el pasado se recuperaron los trenes de pasajeros el tren maya el interoceanico ya funciona el tren maya ahora vamos a llevar el tren maya a progreso al puerto de progreso en yucatan y lo vamos a hacer el tren maya de carga ']"
28,92,28_gobernador_saludo_gobernadora_gracias,"['gobernador', 'saludo', 'gobernadora', 'gracias', 'procedemos', 'bienvenida', 'cargo', 'muchas', 'tardes', 'mensaje']","['procedemos con el mensaje de bienvenida a cargo del gobernador constitucional del estado de tabasco javier may rodriguez ', 'procedemos con el mensaje de bienvenida a cargo de la gobernadora constitucional del estado de baja california maestra marina del pilar avila olmeda ', 'procedemos con el mensaje de bienvenida a cargo de la gobernadora constitucional del estado de colima la maestra indira vizcaino silva ']"
29,91,29_pregunta_no_nada_inaudible,"['pregunta', 'no', 'nada', 'inaudible', 'firmar', 'notario', 'desaparezca', 'preocupacion', 'usted', 'dije']","['entonces no tiene nada que ver una cosa con la otra nada absolutamente nada ', 'y el interrogatorio es muy lo pueden encontrar facilmente en internet ella dice no voy a decir nada ni de este ni de aquel asi me lleven al ultimo suplicio y lo cumple o sea asi me maten no voy a delatar a ninguno de los guadalupes ', 'pregunta nada mas que decir ']"
30,90,30_homicidios_promedio_ciento_disminucion,"['homicidios', 'promedio', 'ciento', 'disminucion', '2024', 'septiembre', 'dolosos', 'victimas', 'diarios', 'diario']","['mira 86 9 homicidios promedio diario en septiembre del 2024 en mayo del 2025 64 5 22 homicidios diarios menos y un trabajo cotidiano permanente no solo para los homicidios sino para todos los delitos de alto impacto en coordinacion con los estados y va a seguir dando resultados la estrategia ', 'la siguiente grafica muestra la evolucion pero mensual del promedio diario de victimas de homicidio doloso entre enero de 2024 y el 24 de marzo de 2025 con los datos preliminares de marzo se observa una tendencia sostenida a la baja durante los primeros 6 meses de la administracion de la presidenta la doctora claudia sheinbaum como se ve en la grafica en septiembre de 2024 el promedio diario de homicidios era de 86 9 y en lo que va de marzo este promedio es de 67 4 victimas diarias lo que significaria una reduccion del 22 4 por ciento de forma preliminar ', 'como ya lo explico marcela hemos observado una disminucion sostenida en los homicidios dolosos que en septiembre representa una reduccion de 32 por ciento en el promedio diario de este delito esto significa 27 homicidios menos que en septiembre del 2024 ademas es el septiembre mas bajo en homicidios en 10 anos ']"
31,86,31_soberania_nuestra_siempre_pueblo,"['soberania', 'nuestra', 'siempre', 'pueblo', 'patria', 'reivindica', 'derecha', 'reside', 'respeto', 'nuestro']","[' la soberania del pueblo la soberania de nuestro pais no se toca ', 'ellos pueden actuar en su territorio en su marco de actuacion y de su constitucion nosotros lo que decimos es la defensa de nuestra soberania y nuestra independencia por eso siempre dijimos nos coordinamos pero somos un pais libre independiente y soberano y lo que vamos a buscar es la coordinacion ', 'esto solo lo podemos hacer porque nos guia el amor a nuestra historia a nuestro pueblo y a nuestra patria y sabemos que en el trabajo diario por el bienestar de la gente humilde y por la soberania de nuestra hermosa patria y la justicia es posible el desarrollo de nuestra nacion ']"
32,84,32_pension_pensiones_jubilacion_adulto,"['pension', 'pensiones', 'jubilacion', 'adulto', 'mayores', 'adultos', 'fondo', 'universal', 'reciben', '65']","['la pension personas con discapacidad ', 'continua la pension universal a adulto mayor esa va a seguir pero ademas ya no solo es un programa de bienestar sino que es un derecho porque esta ya en la constitucion de la republica y ningun presidente puede quitarles a los adultos mayores su pension universal por siempre y para siempre ', 'el que todos conocemos es la pension universal para adulto mayor que lo reciben hoy mas de 500 mil personas en todo el pais solo por tener 65 anos en mexico solo por eso se tiene derecho a la pension universal para adulto mayor ']"
33,81,33_64_pension_mujeres_60,"['64', 'pension', 'mujeres', '60', '63', 'edad', '62', '61', 'bienestar', 'apoyo']","['uno el apoyo a todas las mujeres de 60 a 64 anos de edad ya todas las mujeres de 63 y 64 tienen un apoyo pension mujeres bienestar y al llegar digo y en agosto perdon vamos a iniciar la inscripcion de mujeres de 60 61 y 62 anos para cumplir con ese derecho durante el 2025 ', 'el primero para las mujeres de 60 a 64 anos de edad ya lo reciben las de 63 y 64 ya se inscribieron las de 60 61 y 62 el proximo mes se inicia la distribucion de tarjetas del banco de bienestar y en noviembre todas las mujeres de 60 a 64 anos van a estar recibiendo pension mujeres bienestar por el solo hecho de ser mujeres ', 'el primero es el apoyo a todas las mujeres de 60 a 64 anos de edad en ese caso es solo para las mujeres ya mas de un millon de mujeres de 63 y 64 anos tienen pension mujeres bienestar y a partir de agosto inicia la inscripcion para las mujeres de 60 61 y 62 anos ']"
34,77,34_fiscalia_denuncia_investigacion_alguna,"['fiscalia', 'denuncia', 'investigacion', 'alguna', 'fiscal', 'carpeta', 'auditorias', 'si', 'no', 'informacion']","['como bien menciona el secretario de seguridad y proteccion ciudadana la investigacion formal inicia en noviembre del 2024 y es hasta febrero de 2025 que la carpeta de investigacion esta completa por parte de la fiscalia general de justicia del estado de tabasco y se pide la orden de aprehension y un juez la otorga y a partir de ahi inicia la busqueda de esta persona ', 'las personas no tienen una carpeta de investigacion como tal sino que hay una sancion derivada del departamento del tesoro entonces si hay necesidad se encuentra alguna cosa pues entonces se hara la parte correspondiente pero no hay una carpeta de investigacion de la fiscalia general de la republica ', 'segundo aqui no se cubre a nadie si la fiscalia tiene contra alguien que sea militante de morena o no alguna evidencia adelante que continue la investigacion entonces no vamos a cubrir a nadie nosotros ni la fiscalia aunque la fiscalia obviamente es autonoma lo tiene que seguir la investigacion ']"
35,77,35_centavos_pesos_palomita_tache,"['centavos', 'pesos', 'palomita', 'tache', 'cara', 'barata', 'kilo', 'precios', 'chedraui', '910']","['tres ciudades tijuana tampico tuxtla gutierrez la mas barata en tijuana baja california soriana super libertad 812 pesos con 90 centavos palomita y la mas cara walmart tijuana hipodromo 884 con 80 tambien palomita porque esta por debajo de los 910 pesos tampico tamaulipas bodega aurrera tampico 758 pesos con 40 centavos palomita y chedraui andonegui 933 pesos con 20 centavos tache ', 'en durango la mas barata soriana hiper 20 de noviembre 839 pesos con 80 centavos palomita y la mas cara chedraui en esta ciudad que tambien le vamos a poner una palomita porque esta por debajo de los 910 pesos ', 'y la canasta mas barata que encontramos fue en la bodega aurrera centro constituyentes en 843 pesos con 50 centavos palomita y la mas cara chedraui centro sur tambien la encontramos en 874 pesos con 40 centavos y aqui no le vamos a poner tache porque efectivamente esta por debajo de los 910 pesos entonces en reconocimiento vamos a darle una palomita aunque sea la mas cara esta por debajo de lo acordado ']"
36,77,36_gracias_muchas_presidenta_pregunta,"['gracias', 'muchas', 'presidenta', 'pregunta', 'ok', 'muchisimas', 'senora', 'bienvenida', 'agradecerle', 'aplauso']","['pregunta si muchas gracias presidenta ', 'pregunta si muchas gracias presidenta ', 'pregunta muchas gracias presidenta ']"
37,76,37_seguridad_inteligencia_investigacion_estrategia,"['seguridad', 'inteligencia', 'investigacion', 'estrategia', 'ejes', 'coordinacion', 'nacional', 'ciudadana', 'guardia', 'fortalecimiento']","['hoy informaremos los avances a 8 meses de la implementacion de la estrategia nacional de seguridad encabezada por la presidenta claudia sheinbaum la cual esta basada en cuatro ejes atencion a las causas consolidacion de la guardia nacional fortalecimiento de inteligencia e investigacion asi como la coordinacion con las entidades federativas y entre las instituciones que integran el gabinete de seguridad ', 'en los cuatro ejes que hemos mencionado atencion a las causas inteligencia e investigacion fortalecimiento de la guardia nacional y coordinacion y en la coordinacion hay coordinacion a nivel del gabinete de seguridad federal con la fiscalia y tambien coordinacion con las entidades federativas ', 'ademas de la estrategia general de seguridad que consiste en los cuatro ejes que hemos mencionado de atencion a las causas consolidacion y fortalecimiento de la guardia nacional inteligencia e investigacion y la coordinacion esta es una estrategia general para toda la republica ']"
38,71,38_trevilla_trejo_defensa_ricardo,"['trevilla', 'trejo', 'defensa', 'ricardo', 'guardia', 'nacional', 'secretario', 'general', 'comandante', 'mando']","['general ricardo trevilla trejo secretario de la defensa nacional y alto mando del ejercito fuerza aerea y guardia nacional ', 'el general ricardo trevilla trejo secretario de la defensa nacional y alto mando del ejercito fuerza aerea y guardia nacional ', 'el general ricardo trevilla trejo secretario de la defensa nacional y alto mando del ejercito fuerza aerea y guardia nacional ']"
39,68,39_gobernador_municipal_constitucional_gobernadora,"['gobernador', 'municipal', 'constitucional', 'gobernadora', 'americo', 'villarreal', 'estado', 'ramirez', 'presidente', 'san']","['el gobernador constitucional del estado de tamaulipas americo villarreal anaya ', 'el gobernador constitucional del estado de tamaulipas americo villarreal anaya ', 'doctor americo villarreal anaya gobernador constitucional del estado de tamaulipas ']"
40,67,40_hijos_ninas_ninos_hijas,"['hijos', 'ninas', 'ninos', 'hijas', 'cuidamos', 'padres', 'somos', 'quienes', 'familia', 'principalmente']","['por ejemplo quienes somos las que principalmente cuidamos de las hijas y de los hijos ', 'a ver quienes somos las que principalmente cuidamos de los hijos y las hijas ', 'por ejemplo quien cuida principalmente de las ninas y los ninos de las hijas y de los hijos ']"
41,66,41_doctora_preside_constitucional_mexicanos,"['doctora', 'preside', 'constitucional', 'mexicanos', 'moderador', 'comandanta', 'unidos', 'evento', 'armadas', 'estados']","['moderadora preside este evento programas para el bienestar la presidenta constitucional de los estados unidos mexicanos doctora claudia sheinbaum pardo ', 'moderador preside este evento programas para el bienestar la presidenta constitucional de los estados unidos mexicanos doctora claudia sheinbaum pardo ', 'moderador preside este evento programas para el bienestar la presidenta constitucional de los estados unidos mexicanos doctora claudia sheinbaum pardo ']"
